learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.315494979,0.0,1000.0,87.5,75.02457581739569,10.714285714285724,74.48979591836735,1000.0,0.0
2000.0,0.797786165,0.0,2000.0,91.60000000000001,80.5249003060373,40.00000000000003,71.81208053691277,2000.0,0.0
3000.0,1.094318058,0.0,3000.0,85.39999999999999,69.57610765890232,21.505376344086034,64.47688564476886,3000.0,0.0
4000.0,1.343657671,0.0,4000.0,89.5,77.67629349933667,37.86982248520713,73.1457800511509,4000.0,0.0
5000.0,1.615062634,0.0,5000.0,87.6,72.1778463858125,22.500000000000014,64.97175141242938,5000.0,0.0
6000.0,1.862252628,0.0,6000.0,84.8,68.75976257419556,0.0,63.63636363636363,6000.0,0.0
7000.0,2.104690364,0.0,7000.0,85.3,69.09609223239738,23.036649214659654,65.08313539192399,7000.0,0.0
8000.0,2.362038958,0.0,8000.0,77.8,55.426162031924505,-29.824561403508724,58.192090395480236,8000.0,0.0
9000.0,2.610147444,0.0,9000.0,86.9,73.62168257420161,23.837209302325597,72.36286919831223,9000.0,0.0
10000.0,2.828935015,0.0,10000.0,84.5,69.03096903096903,-8.391608391608397,68.10699588477365,10000.0,0.0
11000.0,3.02182714,0.0,11000.0,90.5,80.96528067194564,46.927374301676004,80.96192384769539,11000.0,0.0
12000.0,3.209534277,0.0,12000.0,79.2,57.82353203586623,-50.72463768115938,53.67483296213808,12000.0,0.0
13000.0,3.405897678,0.0,13000.0,81.39999999999999,62.803124537538835,-30.069930069930095,62.348178137651814,13000.0,0.0
14000.0,3.608221628,0.0,14000.0,85.8,71.60045439272972,-44.89795918367352,69.52789699570815,14000.0,0.0
15000.0,3.838775088,0.0,15000.0,80.5,59.4517038601978,-34.48275862068961,56.66666666666668,15000.0,0.0
16000.0,4.308709183,0.0,16000.0,77.10000000000001,52.98166079450728,-39.63414634146337,45.60570071258908,16000.0,0.0
17000.0,4.606184136,0.0,17000.0,80.2,56.449058595812076,-23.749999999999947,45.000000000000014,17000.0,0.0
18000.0,5.115566001,0.0,18000.0,81.5,61.3652880687656,-33.093525179856144,55.31400966183574,18000.0,0.0
19000.0,5.45145724,0.0,19000.0,89.3,76.13631294883805,20.1492537313433,69.85915492957747,19000.0,0.0
20000.0,5.708596317,0.0,20000.0,79.60000000000001,59.30418129588255,-64.51612903225804,60.31128404669261,20000.0,0.0
21000.0,5.971906152,0.0,21000.0,79.2,57.69881556683588,-13.661202185792298,53.153153153153156,21000.0,0.0
22000.0,6.229016577,0.0,22000.0,81.10000000000001,51.55883167078461,-1.0695187165774813,31.021897810219002,22000.0,0.0
23000.0,6.487106514,0.0,23000.0,80.80000000000001,60.50439182934607,-27.152317880794648,55.03512880562062,23000.0,0.0
24000.0,6.76972935,0.0,24000.0,80.60000000000001,58.65443633635682,-31.08108108108103,51.010101010101025,24000.0,0.0
25000.0,7.076822094,0.0,25000.0,82.6,62.084729733852214,-50.00000000000004,53.84615384615383,25000.0,0.0
26000.0,7.364110929,0.0,26000.0,82.1,63.497100160694316,-27.85714285714288,59.5022624434389,26000.0,0.0
27000.0,7.676440723,0.0,27000.0,82.39999999999999,62.76235612728504,-64.48598130841128,57.073170731707314,27000.0,0.0
28000.0,8.197472875,0.0,28000.0,79.2,56.58707630656203,-128.5714285714286,49.26829268292684,28000.0,0.0
29000.0,8.574228696,0.0,29000.0,74.6,42.30708078371516,-118.96551724137933,33.33333333333333,29000.0,0.0
30000.0,9.096649477,0.0,30000.0,74.1,43.5759350273624,-139.81481481481487,34.5959595959596,30000.0,0.0
31000.0,9.435318268,0.0,31000.0,78.3,51.533073651860065,-45.637583892617414,42.74406332453827,31000.0,0.0
32000.0,9.90032951,0.0,32000.0,74.6,47.726515004959815,-76.38888888888887,39.379474940334134,32000.0,0.0
33000.0,10.286171489,0.0,33000.0,77.60000000000001,54.735587123891115,-91.45299145299145,50.76923076923077,33000.0,0.0
34000.0,10.720406001,0.0,34000.0,74.7,45.64983888292159,-78.16901408450703,34.285714285714285,34000.0,0.0
35000.0,10.990185742,0.0,35000.0,78.3,53.95166835015407,-77.86885245901637,48.4560570071259,35000.0,0.0
36000.0,11.276813831,0.0,36000.0,81.10000000000001,53.504620017122114,-22.72727272727267,38.235294117647086,36000.0,0.0
